Магазин,Категория,Название,Цена,Цена без скидки,Ссылка,Изображение
Ригла,Дермакосметика,Облепиховое масло раствор масляный 50мл,321.0,321.0,https://www.rigla.ru/product/oblepikhovoye-maslo-r-r-masl-50ml-46194,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/6/46194-3-0-4-3-3043b37eb4217babfc7264d006cd692c20092655_46194.jpg
Ригла,Дермакосметика,"Синафлан мазь 0,025% 10г",94.0,94.0,https://www.rigla.ru/product/sinaflan-maz-0025-10g-5006956,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5006956-1-8-1-d-181d590aacce00feb786795ef4c0d6f97ca7e96a_5006956.jpg
Ригла,Дермакосметика,Ацикловир таблетки 200мг № 20,81.5,81.5,https://www.rigla.ru/product/atsiklovir-tab-200mg-no20-49836,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/49836-8-1-a-2-81a252d1d4fa9c84e983df51e6a8ee4706fffe45_49836.jpg
Ригла,Дермакосметика,Пантенол аэрозоль 190мл,608.0,608.0,https://www.rigla.ru/product/pantenol-aer-190ml-443140,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/443140-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Карталин крем-эмолент для ежедневного ухода за сухой и очень сухой кожей флакон 300мл,1121.0,1121.0,https://www.rigla.ru/product/kartalin-krem-emolent-dlya-yezhednevnogo-ukhoda-za-sukhoy-i-ochen-sukhoy-kozhey-fl-300ml-4991599,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/9/4991599-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,"раны а ожоги устройством для лица и тела c д-пантенолом и алоэ вера 130,0",498.0,498.0,https://www.rigla.ru/product/rany-a-ozhogi-sprey-dlya-litsa-i-tela-c-d-pantenolom-i-aloe-vera-1300-443144,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/443144-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Псоралюм гранулы гомеопатические 20г,360.0,360.0,https://www.rigla.ru/product/psoralyum-granuly-gomeopaticheskiye-20g-448511,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/448511-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Псоралюм бальзам косметический 70мл,324.0,324.0,https://www.rigla.ru/product/psoralyum-balzam-kosmeticheskiy-70ml-119223,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/1/1/119223-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,"ЭХИНАЦЕЯ ПУРПУРЕА C30 ГОМЕОПАТ МОНОКОМП ПРЕПАРАТ РАСТИТ ПРОИСХОЖД 5,0 ГРАНУЛЫ ГОМЕОПАТ",197.0,197.0,https://www.rigla.ru/product/ekhinatseya-purpurea-c30-gomeopat-monokomp-preparat-rastit-proiskhozhd-50-granuly-gomeopat-5007217,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/5/0/5007217-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
Ригла,Дермакосметика,Миндальное масло 25мл,99.5,99.5,https://www.rigla.ru/product/mindalnoye-maslo-25ml-80230,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/8/0/80230-c-e-3-a-ce3a8efeccbf5c0b53447293e10e78a1590a751c_80230.jpg
Ригла,Дермакосметика,Облепиховое масло для приема внутрь  / мест. / наруж. прим. 100мл,600.0,600.0,https://www.rigla.ru/product/oblepikhovoye-maslo-dlya-priyema-vnutr-mestnaruzh-prim-100ml-441863,https://cdn.rigla.ru/media/catalog/product/cache/8b5c625fb692b8dde426740670a5d3db/4/4/441863-f-3-7-5-f3754becd47a51d43ad7e948c12babb439dd74de____________________________.jpg
